"Key-Clé","CoAppNm","CoAppRoleCD","CoAppRoleEN","CoAppRoleFR","CoAppOrgID","CoAppOrgNm","ProvinceEN","ProvinceFR","CountryEN","PaysFR","FiscalYear-AnnéeFinancière"
851302,"Alexander, Michael P","CO","Co-Investigator","Co-chercheur","UVLA","Beth Israel Deaconess Medical Center (Boston)","Massachusetts","Massachusetts","United States","États-Unis","200304"
851302,"Stuss, Donald T","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","ABPI","Baycrest Centre for Geriatric Care (Toronto)","Ontario","Ontario","Canada","Canada","200304"
851302,"Craik, Fergus I","CO","Co-Investigator","Co-chercheur","ADNE","Rotman Research Institute (Toronto, Ontario)","Ontario","Ontario","Canada","Canada","200304"
851302,"Shallice, Timothy","CO","Co-Investigator","Co-chercheur","AAFO","University College London (UK)","Unknown/Inconnu","Unknown/Inconnu","United Kingdom","Royaume-Uni","200304"
851302,"Murphy, Kelly J","CO","Co-Investigator","Co-chercheur","ABPI","Baycrest Centre for Geriatric Care (Toronto)","Ontario","Ontario","Canada","Canada","200304"
851302,"Robertson, Ian H","CO","Co-Investigator","Co-chercheur","ABZP","Trinity College (Ireland)","Unknown/Inconnu","Unknown/Inconnu","Ireland","Irelande","200304"
585665,"Tweed, Douglas B","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200304"
441990,"Finegood, Diane T","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CACA","Simon Fraser University (Burnaby, B.C.)","British Columbia","Colombie-Britannique","Canada","Canada","200304"
344913,"Ruth, Thomas J","CO","Co-Investigator","Co-chercheur","ABBI","TRIUMF (Vancouver, BC)","British Columbia","Colombie-Britannique","Canada","Canada","200304"
344913,"Stoessl, A. Jonathan","CO","Co-Investigator","Co-chercheur","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200304"
344913,"Holden, James (Jim) E","CO","Co-Investigator","Co-chercheur","SXAA","University of Wisconsin","Wisconsin","Wisconsin","United States","États-Unis","200304"
344913,"Doudet, Doris J","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200304"
438974,"Stoessl, A. Jonathan","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200304"
408326,"Ervin, Frank R","CO","Co-Investigator","Co-chercheur","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200304"
408326,"Palmour, Roberta M","CO","Co-Investigator","Co-chercheur","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200304"
408326,"Vaccarino, Franco J","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200304"
328228,"Palmour, Roberta M","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200304"
830886,"Van Tol, Hubert H","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAH","Centre for Addiction and Mental Health (Toronto)/Centre de toxicomanie et de santé mentale","Ontario","Ontario","Canada","Canada","200304"
765215,"Reynolds, John D","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200304"
639921,"Series, Frédéric H","CO","Co-Investigator","Co-chercheur","CPVR","Institut universitaire de cardiologie et de pneumologie de Québec - U Laval","Québec","Québec","Canada","Canada","200304"
639921,"Fleetham, John A","CO","Co-Investigator","Co-chercheur","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200304"
639921,"Kimoff, Richard J","CO","Co-Investigator","Co-chercheur","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200304"
639921,"Logan, Alexander G","CO","Co-Investigator","Co-chercheur","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200304"
639921,"Bradley, Douglas T","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200304"
639921,"Remmers, John E","CO","Co-Investigator","Co-chercheur","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200304"
639921,"Floras, John S","CO","Co-Investigator","Co-chercheur","CEAD","Sinai Health System (Toronto)","Ontario","Ontario","Canada","Canada","200304"
639921,"Ferguson, Kathleen A","CO","Co-Investigator","Co-chercheur","CEEA","University of Western Ontario","Ontario","Ontario","Canada","Canada","200304"
